StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q1.1,Q1.2,Q1.2,Q1.3,Q1.4,Q2.1,Q3.1,Q3.2,Q3.3,Q3.3_10_TEXT,Q3.2.1,Q4.1,Q4.2,Q4.3,Q4.4,Q4.4_11_TEXT,Q5.1,Q5.2,Q5.3,Q5.4,Q5.4_13_TEXT,Q6.1,Q6.2,Q6.3,Q6.3_7_TEXT,Q7.1,Q7.2,Q7.2_8_TEXT,Q8.1_1,Q8.1_2,Q8.1_3,Q8.1_4,Q8.1_5,Q8.1_6,Q8.1_7,Q8.1_8,Q8.1_9,Q8.1_10,Q8.1_10_TEXT,Q8.1_11,Q8.1_11_TEXT,Q8.2,Q8.3,Q8.3_20_TEXT,Q8.4,Q8.4_10_TEXT,Q8.5,Q8.6,Q8.6_9_TEXT,Q8.1_3_TEXT - Parent Topics,Q8.1_3_TEXT - Topics
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Which faculty are you from?,Which department are you affiliated to?,Which department are you affiliated to?,What is your position?,"Are
you member of any research institute affiliated with RSM or ESE?","What is your experience with
open science practices?","In your opinion, how important
for your field is it that researchers preregister their studies?",What is your experience with study preregistration?,"The following are possible concerns that
researchers could have about preregistering their studies. Which of these concerns would apply to you? Select all suitable options - Selected Choice","The following are possible concerns that
researchers could have about preregistering their studies. Which of these concerns would apply to you? Select all suitable options - Other - Text",What is the total number of preregistered studies that you have conducted?,"In your opinion, how important for your field is it that materials
and/or code are openly available?",What is your experience with using open materials and/or code?,What is your experience with sharing open materials and/or code?,"The following are possible concerns that researchers could have
about making their materials and/or code openly available. Which of these concerns would apply to you? Select all suitable options. - Selected Choice","The following are possible concerns that researchers could have
about making their materials and/or code openly available. Which of these concerns would apply to you? Select all suitable options. - Other - Text","In your opinion, how important for your field is it that data from
published research are openly available?",What is your experience with using open data?,What is your experience with sharing open data?,"The following are possible concerns that researchers could have
about making their data openly available. Which of these concerns would apply to you? Select all suitable options. - Selected Choice","The following are possible concerns that researchers could have
about making their data openly available. Which of these concerns would apply to you? Select all suitable options. - Other - Text","In your opinion, how important is pre-publication archiving for your
field?","What is your experience with pre-publication
archiving?","The following are possible concerns that
researchers could have about uploading a manuscript to a pre-publication
archive before submitting it for peer review. Which of these concerns would apply to you? Select all suitable options. - Selected Choice","The following are possible concerns that
researchers could have about uploading a manuscript to a pre-publication
archive before submitting it for peer review. Which of these concerns would apply to you? Select all suitable options. - Other - Text","Approximately what proportion of your publications
from the last 5 years are open access","Many open access journals charge a fee for processing the article
for publication. How have you managed payment of these fees? Select all suitable options - Selected Choice","Many open access journals charge a fee for processing the article
for publication. How have you managed payment of these fees? Select all suitable options - Other - Text","Please indicate your awareness of each of the open science resources
listed below. If there are other resources that you use or are aware of, please
enter them in the ""other"" box at the bottom of the table. - Open Science Framework","Please indicate your awareness of each of the open science resources
listed below. If there are other resources that you use or are aware of, please
enter them in the ""other"" box at the bottom of the table. - GitHub","Please indicate your awareness of each of the open science resources
listed below. If there are other resources that you use or are aware of, please
enter them in the ""other"" box at the bottom of the table. - EUR data repository/Figshare","Please indicate your awareness of each of the open science resources
listed below. If there are other resources that you use or are aware of, please
enter them in the ""other"" box at the bottom of the table. - 4TU Center for Research Data","Please indicate your awareness of each of the open science resources
listed below. If there are other resources that you use or are aware of, please
enter them in the ""other"" box at the bottom of the table. - EUR SurfDrive","Please indicate your awareness of each of the open science resources
listed below. If there are other resources that you use or are aware of, please
enter them in the ""other"" box at the bottom of the table. - EUR Dropbox (not personal)","Please indicate your awareness of each of the open science resources
listed below. If there are other resources that you use or are aware of, please
enter them in the ""other"" box at the bottom of the table. - FAIR data principles","Please indicate your awareness of each of the open science resources
listed below. If there are other resources that you use or are aware of, please
enter them in the ""other"" box at the bottom of the table. - EUR RePub","Please indicate your awareness of each of the open science resources
listed below. If there are other resources that you use or are aware of, please
enter them in the ""other"" box at the bottom of the table. - Zenodo","Please indicate your awareness of each of the open science resources
listed below. If there are other resources that you use or are aware of, please
enter them in the ""other"" box at the bottom of the table. - Other 1","Please indicate your awareness of each of the open science resources
listed below. If there are other resources that you use or are aware of, please
enter them in the ""other"" box at the bottom of the table. - Other 1 - Text","Please indicate your awareness of each of the open science resources
listed below. If there are other resources that you use or are aware of, please
enter them in the ""other"" box at the bottom of the table. - Other 2","Please indicate your awareness of each of the open science resources
listed below. If there are other resources that you use or are aware of, please
enter them in the ""other"" box at the bottom of the table. - Other 2 - Text",During March 2021 ERIM launched an ORCID campaign. Did you participate in it and got your own ORCID iD?,"The following are possible barriers to the uptake of open science
practices. Please place a tick beside any statement that you agree is a barrier
in your field. Select all suitable options. - Selected Choice","The following are possible barriers to the uptake of open science
practices. Please place a tick beside any statement that you agree is a barrier
in your field. Select all suitable options. - Other - Text","Are you sharing your knowledge about open science
practices with others? Select all suitable options - Selected Choice","Are you sharing your knowledge about open science
practices with others? Select all suitable options - Other - Text",Do you expect that ERIM supports you in learning open science practices?,Which of the following open science practices would you like ERIM to provide information or support for?Select all suitable options. - Selected Choice,Which of the following open science practices would you like ERIM to provide information or support for?Select all suitable options. - Other - Text,Q8.1_3_TEXT - Parent Topics,Q8.1_3_TEXT - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID39""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_10_TEXT""}","{""ImportId"":""QID91_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID90""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_11_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID87""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_13_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID56_7_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID59_8_TEXT""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID62_2""}","{""ImportId"":""QID62_4""}","{""ImportId"":""QID62_5""}","{""ImportId"":""QID62_6""}","{""ImportId"":""QID62_7""}","{""ImportId"":""QID62_9""}","{""ImportId"":""QID62_10""}","{""ImportId"":""QID62_11""}","{""ImportId"":""QID62_3""}","{""ImportId"":""QID62_3_TEXT""}","{""ImportId"":""QID62_12""}","{""ImportId"":""QID62_12_TEXT""}","{""ImportId"":""QID76""}","{""ImportId"":""QID63""}","{""ImportId"":""QID63_20_TEXT""}","{""ImportId"":""QID82""}","{""ImportId"":""QID82_10_TEXT""}","{""ImportId"":""QID84""}","{""ImportId"":""QID75""}","{""ImportId"":""QID75_9_TEXT""}","{""ImportId"":""QID62_3_TEXT_db2ae459909f44669aba1015ParTopics""}","{""ImportId"":""QID62_3_TEXT_db2ae459909f44669aba1015Topics""}"
2021-04-06 03:09:10,2021-04-06 03:14:43,100,332,True,2021-04-06 03:14:45,R_bxAlLtSz8FXjd7j,Rotterdam School of Management (RSM),Finance,,Tenured faculty member,ERIM,"I am aware, but have not used open science practices in my research",Moderately important,"I am aware of study preregistration, but have not used it in my research","It might delay data collection,I need to look at my data before I can decide how to best analyse it",,,Very important,"I am aware of open materials and/or code, but have not used it in my research","I have some experience with open materials and/or code, but do not share mine regularly","I might lose control over how my materials and/or code are being used,I might not receive appropriate credit for developing the materials and/or code if I make them openly available",,Extremely important,"I am aware of open data, but have not used this in my research","I have some experience sharing open data, but not regularly","There could be issues related to privacy,I might not receive appropriate credit for my data collection",,Extremely important,I have extensive experience with preprint archiving,I do not share any of these concerns,,Some,I don’t know/prefer not to answer,,I am unaware of this,"I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,"I am aware of it, but don't use it",I use this,I am unaware of this,I am unaware of this,I am unaware of this,,,,,"No, I did not participate since I already had an ORCID iD","Lack of funding for open access publishing,Lack of recognition in my field about the value of open science practices,Lack of professional staff that provide support for open science practices",,"Yes, I share my knowledge with my colleagues informally",,Yes,"Open Materials and/or Code,Open Data,Pre-publication archiving,Open access publishing,Open access archiving in a repository",,,
2021-04-06 03:11:22,2021-04-06 03:19:32,100,490,True,2021-04-06 03:19:33,R_6sVgWYG8CptPI8V,Rotterdam School of Management (RSM),Business-society management,,Tenured faculty member,ERIM,"I am aware, but have not used open science practices in my research",Not at all important,"I am aware of study preregistration, but have not used it in my research",Other,Implications with anonymity protection.,,Slightly important,"I am aware of open materials and/or code, but have not used it in my research","I am aware of open materials and/or code, but have not shared my own",Other,"As a qual researcher it is common to disclose interview protocols, data structures in the articles already.",Slightly important,"I am aware of open data, but have not used this in my research","I am aware of open data, but have not shared my data",There could be issues related to privacy,,Not at all important,I am aware of pre-publication archiving but have not used it,Some journals might not publish findings that are uploaded to a pre-publication archive,,Some,My open access publications did not involve fees,,"I am aware of it, but don't use it",I am unaware of this,I use this,I am unaware of this,I use this,I use this,I am unaware of this,I use this,I am unaware of this,,,,,"No, I did not participate and I do not have an ORCID iD",Lack of time to engage in open science practices,,No,,No,,,,
2021-04-06 03:14:27,2021-04-06 03:19:44,100,316,True,2021-04-06 03:19:44,R_0dq3s9M41f0TBKh,Rotterdam School of Management (RSM),Business-society management,,PhD student,ERIM,"I am aware, but have not used open science practices in my research",Very important,"I am aware of study preregistration, but have not used it in my research",I need to look at my data before I can decide how to best analyse it,,,Very important,"I am aware of open materials and/or code, but have not used it in my research","I am aware of open materials and/or code, but have not shared my own",I don’t know/prefer not to answer,,Very important,"I am aware of open data, but have not used this in my research","I am aware of open data, but have not shared my data","There could be issues related to intellectual property,There could be issues related to privacy",,I don’t know/prefer not to answer,"Until now, I was unaware of ""pre-publication archiving""",Other,,I don’t know/prefer not to answer,I don’t know/prefer not to answer,,"I am aware of it, but don't use it","I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,I use this,"I am aware of it, but don't use it","I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,,,,,"No, I did not participate since I already had an ORCID iD",Other,Difficulty to turn qualitative data into open data due to privacy/confidentiality of information.,"Yes, I share my knowledge with my colleagues informally",,Yes,I don’t know/prefer not to answer,,,
2021-04-06 03:13:25,2021-04-06 03:22:07,100,522,True,2021-04-06 03:22:08,R_2YccltQiRYj5Kxg,Rotterdam School of Management (RSM),Marketing management,,Tenured faculty member,ERIM,I have extensive experience with open science practices,Very important,I regularly preregister my studies,I do not share any of these concerns,,57,Extremely important,"I have some experience with open materials and/or code, but do not use them regularly",I regularly share open materials and/or code,I do not share any of these concerns,,Extremely important,"I have some experience using open data, but do not use them regularly",I regularly share open data,I do not share any of these concerns,,Slightly important,I have some experience with pre-publication archiving,"Other people might copy my research and publish it before I do,Non-peer-reviewed findings might add noise to the literature,Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis; revisions to hypotheses) between the original conception of the research and the ultimately published work",,Some,"My open access publications did not involve fees,It was paid under the ""blanket agreement"" between VSNU and selected academic publishers,I collaborated with others and other co-author paid the fees with their research funding,I submit my research to journals that do not provide open access options",,I use this,"I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,I am unaware of this,"I am aware of it, but don't use it",I am unaware of this,"I am aware of it, but don't use it",I am unaware of this,"I am aware of it, but don't use it",ResearchBox,,,"No, I did not participate since I already had an ORCID iD","Lack of recognition in my field about the value of open science practices,Lack of information about open science practices,Lack of research funding to support open science practices,Lack of expertise to engage in open science practices (e.g., assignment of metadata),Researchers are discouraged from engaging in open science practices by their colleagues,Researchers don't want to be told how to do their research,Lack of interest from researchers",,"Yes, I share my knowledge with my colleagues informally,Yes, I share my knowledge with my colleagues by offering seminars and/or giving talks,Yes, I share my knowledge with my students or fellow research students",,Yes,"Pre-publication archiving,Open access publishing,Open access archiving in a repository",,,
2021-04-06 03:24:29,2021-04-06 03:29:43,100,313,True,2021-04-06 03:29:45,R_OkbPx63wdrIiN6F,Rotterdam School of Management (RSM),Strategic management & entrepreneurship,,Tenured faculty member,ERIM,I have some experience with open science practices,Moderately important,"I am aware of study preregistration, but have not used it in my research","It might delay data collection,I need to look at my data before I can decide how to best analyse it,Preregistration prevents exploratory research,Preregistration might lead to other people taking my research idea and implementing my plan",,,Not at all important,"I am aware of open materials and/or code, but have not used it in my research","I am aware of open materials and/or code, but have not shared my own","I might lose control over how my materials and/or code are being used,I might not receive appropriate credit for developing the materials and/or code if I make them openly available,There could be issues related to intellectual property",,Not at all important,"I am aware of open data, but have not used this in my research","I am aware of open data, but have not shared my data","There could be issues related to intellectual property,There could be issues related to ethics,There could be issues related to privacy,I think it is unfair for researchers beyond the original team to benefit (e.g., through future publications, career advancement) from my data collection,I might not receive appropriate credit for my data collection,I might lose control over how my data are being used",,Not at all important,I am aware of pre-publication archiving but have not used it,"Other people might copy my research and publish it before I do,Non-peer-reviewed findings might add noise to the literature,Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis; revisions to hypotheses) between the original conception of the research and the ultimately published work",,Most,"It was paid under the ""blanket agreement"" between VSNU and selected academic publishers",,"I am aware of it, but don't use it","I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,"I am aware of it, but don't use it",I use this,I am unaware of this,"I am aware of it, but don't use it",I am unaware of this,,,,,"No, I did not participate since I already had an ORCID iD","Lack of credit in my institution for engaging in open science,Lack of time to engage in open science practices,Lack of time to learn open science practices",,"Yes, I share my knowledge with my colleagues informally",,No,,,,
2021-04-06 03:13:46,2021-04-06 03:31:14,100,1048,True,2021-04-06 03:31:16,R_3iU0rdbQ64AC1Do,Rotterdam School of Management (RSM),Business-society management,,Postdoc or researcher,Neither,I have some experience with open science practices,Extremely important,"I have some experience with study preregistration, but do not use it regularly","It might delay data collection,Preregistration prevents exploratory research,Preregistration stifles research creativity or flexibility",,,Extremely important,I regularly use and/or create open materials and/or code,I regularly share open materials and/or code,I do not share any of these concerns,,Extremely important,I regularly use open data,I regularly share open data,I do not share any of these concerns,,I don’t know/prefer not to answer,I am aware of pre-publication archiving but have not used it,Some journals might not publish findings that are uploaded to a pre-publication archive,,Some,"It was paid under the ""blanket agreement"" between VSNU and selected academic publishers",,"I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,I am unaware of this,I use this,"I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,I am unaware of this,,,,,"No, I did not participate and I do not have an ORCID iD","Lack of supporting infrastructure (e.g., open data platforms),Other",Lack of guidance during onboarding of new employees about where to find information on OA or to find information about supporting infrastructure,"Yes, I share my knowledge with my colleagues informally,Yes, I share my knowledge with my students or fellow research students,Yes, I share my knowledge with others through forum discussions (e.g. Facebook groups)",,Yes,"Preregistration,Open Materials and/or Code,Open Data,Pre-publication archiving,Open access publishing,Open access archiving in a repository,Other",This should not even be a question. ,,
2021-04-06 03:25:12,2021-04-06 03:37:16,100,723,True,2021-04-06 03:37:16,R_248mRl6Le1QHBFD,Rotterdam School of Management (RSM),Technology & operation management,,Tenured faculty member,ERIM,I have extensive experience with open science practices,Moderately important,"I have some experience with study preregistration, but do not use it regularly",I do not share any of these concerns,,,Very important,"I am aware of open materials and/or code, but have not used it in my research","I am aware of open materials and/or code, but have not shared my own","Sharing these materials and/or code could result in others asking me to provide assistance for their research,I might not receive appropriate credit for developing the materials and/or code if I make them openly available",,Very important,"I am aware of open data, but have not used this in my research","I am aware of open data, but have not shared my data","There could be issues related to privacy,I might not receive appropriate credit for my data collection,I might lose control over how my data are being used,Other researchers could use my data for another study that I intended to conduct in the future,It will take too much time or effort to share research data",,Moderately important,I have some experience with pre-publication archiving,"Some journals might not publish findings that are uploaded to a pre-publication archive,Non-peer-reviewed findings might add noise to the literature,Making my work available pre-publication might reduce the number of citations to the ultimately published work",,Half,"It was paid under the ""blanket agreement"" between VSNU and selected academic publishers,It was paid using the Erasmus Open Access Fund,I collaborated with others and other co-author paid the fees with their research funding",,I use this,"I am aware of it, but don't use it",I use this,I am unaware of this,I use this,I use this,I use this,I use this,I am unaware of this,,,,,"No, I did not participate since I already had an ORCID iD","Lack of time to engage in open science practices,Lack of expertise to engage in open science practices (e.g., assignment of metadata)",,"Yes, I share my knowledge with my colleagues informally,Yes, I share my knowledge with others through forum discussions (e.g. Facebook groups)",,Yes,"Preregistration,Open Materials and/or Code,Open Data,Pre-publication archiving,Open access archiving in a repository",,,
2021-04-06 03:34:26,2021-04-06 03:40:04,100,338,True,2021-04-06 03:40:05,R_1N4azbN5qtmZB0y,Rotterdam School of Management (RSM),Marketing management,,PhD student,ERIM,"I am aware, but have not used open science practices in my research",Very important,"I am aware of study preregistration, but have not used it in my research",Preregistration prevents exploratory research,,,Moderately important,"I am aware of open materials and/or code, but have not used it in my research","I am aware of open materials and/or code, but have not shared my own","Other researchers might criticise my materials and/or code,Other researchers might find errors in my published work,Reuse of my materials and/or code could violate the epistemological framework of my research,I might lose control over how my materials and/or code are being used,I might not receive appropriate credit for developing the materials and/or code if I make them openly available,There could be issues related to intellectual property",,Very important,"I am aware of open data, but have not used this in my research","I am aware of open data, but have not shared my data","Other researchers might criticise my data and/or research practices,There could be issues related to intellectual property,There could be issues related to ethics,There could be issues related to privacy,I might lose control over how my data are being used,Other researchers could use my data for another study that I intended to conduct in the future",,I don’t know/prefer not to answer,"Until now, I was unaware of ""pre-publication archiving""","Some journals might not publish findings that are uploaded to a pre-publication archive,Other people might copy my research and publish it before I do,Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis; revisions to hypotheses) between the original conception of the research and the ultimately published work",,I don’t know/prefer not to answer,I don’t know/prefer not to answer,,"I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,I am unaware of this,I use this,I use this,I am unaware of this,I am unaware of this,I am unaware of this,,,,,"Yes, I participated and got an ORCID iD","Lack of credit in my institution for engaging in open science,Lack of recognition in my field about the value of open science practices,Lack of mandates from funders, institutions or other regulators,Lack of information about open science practices,Lack of training required to implement open science practices,Lack of expertise to engage in open science practices (e.g., assignment of metadata),Researchers are discouraged from engaging in open science practices by their colleagues",,"Yes, I share my knowledge with my colleagues informally",,I don’t know/prefer not to answer,,,,
