question,item,number_responses,prop,perc,lab_perc
Approximately what proportion of your publications from the last 5 years are open access?,All,8,0.17391304347826086,17.39,17.39%
Approximately what proportion of your publications from the last 5 years are open access?,Half,5,0.10869565217391304,10.87,10.87%
Approximately what proportion of your publications from the last 5 years are open access?,I don’t know/prefer not to answer,7,0.15217391304347827,15.22,15.22%
Approximately what proportion of your publications from the last 5 years are open access?,Most,9,0.1956521739130435,19.57,19.57%
Approximately what proportion of your publications from the last 5 years are open access?,None,9,0.1956521739130435,19.57,19.57%
Approximately what proportion of your publications from the last 5 years are open access?,Some,8,0.17391304347826086,17.39,17.39%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,I don’t know/prefer not to answer,12,0.2608695652173913,26.09,26.09%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,I paid the fees from my own research fund,1,0.021739130434782608,2.17,2.17%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,I received a fee waiver from the journal,1,0.021739130434782608,2.17,2.17%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,I submit my research to journals that do not provide open access options,2,0.043478260869565216,4.35,4.35%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,"It was paid under the ""blanket agreement"" between VSNU and selected academic publishers",20,0.43478260869565216,43.48,43.48%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,It was paid using the Erasmus Open Access Fund,2,0.043478260869565216,4.35,4.35%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,My open access publications did not involve fees,6,0.13043478260869565,13.04,13.04%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,Other,2,0.043478260869565216,4.35,4.35%
