question,item,number_responses,prop,perc,lab_perc
Approximately what proportion of your publications from the last 5 years are open access?,All,12,0.1791044776119403,17.91,17.91%
Approximately what proportion of your publications from the last 5 years are open access?,Half,5,0.07462686567164178,7.46,7.46%
Approximately what proportion of your publications from the last 5 years are open access?,I don’t know/prefer not to answer,16,0.23880597014925373,23.88,23.88%
Approximately what proportion of your publications from the last 5 years are open access?,Most,9,0.13432835820895522,13.43,13.43%
Approximately what proportion of your publications from the last 5 years are open access?,None,11,0.16417910447761194,16.42,16.42%
Approximately what proportion of your publications from the last 5 years are open access?,Some,14,0.208955223880597,20.9,20.9%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,I collaborated with others and other co-author paid the fees with their research funding,3,0.04477611940298507,4.48,4.48%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,I don’t know/prefer not to answer,24,0.3582089552238806,35.82,35.82%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,I paid the fees from my own research fund,1,0.014925373134328358,1.49,1.49%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,I submit my research to journals that do not provide open access options,2,0.029850746268656716,2.99,2.99%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,"It was paid under the ""blanket agreement"" between VSNU and selected academic publishers",21,0.31343283582089554,31.34,31.34%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,It was paid using the Erasmus Open Access Fund,5,0.07462686567164178,7.46,7.46%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,My open access publications did not involve fees,8,0.11940298507462686,11.94,11.94%
Many open access journals charge a fee for processing the article for publication. How have you managed payment of these fees?,Other,3,0.04477611940298507,4.48,4.48%
