question,item,number_responses,prop,perc,lab_perc
What is your experience with open science practices?,"I am aware, but have not used open science practices in my research",40,0.35398230088495575,35.4,35.4%
What is your experience with open science practices?,I don’t know/prefer not to answer,1,0.008849557522123894,0.88,0.88%
What is your experience with open science practices?,I have extensive experience with open science practices,13,0.11504424778761062,11.5,11.5%
What is your experience with open science practices?,I have some experience with open science practices,57,0.504424778761062,50.44,50.44%
What is your experience with open science practices?,"Until now, I was unaware of open science practices",2,0.017699115044247787,1.77,1.77%
Are you sharing your knowledge about open science practices with others?,I don’t know/prefer not to answer,8,0.07079646017699115,7.08,7.08%
Are you sharing your knowledge about open science practices with others?,I share my knowledge with my colleagues informally,64,0.5663716814159292,56.64,56.64%
Are you sharing your knowledge about open science practices with others?,Other,3,0.02654867256637168,2.65,2.65%
Are you sharing your knowledge about open science practices with others?,No,34,0.3008849557522124,30.09,30.09%
Are you sharing your knowledge about open science practices with others?,I share my knowledge with my students or fellow research students,1,0.008849557522123894,0.88,0.88%
Are you sharing your knowledge about open science practices with others?,I share my knowledge with my colleagues by offering seminars and/or giving talks,3,0.02654867256637168,2.65,2.65%
During March 2021 ERIM launched an ORCID campaign. Did you participate in it and got your own ORCID iD?,"No, I did not participate since I already had an ORCID iD",73,0.6460176991150443,64.6,64.6%
During March 2021 ERIM launched an ORCID campaign. Did you participate in it and got your own ORCID iD?,"No, I did not participate and I do not have an ORCID iD",10,0.08849557522123894,8.85,8.85%
During March 2021 ERIM launched an ORCID campaign. Did you participate in it and got your own ORCID iD?,"Yes, I participated and got an ORCID iD",26,0.23008849557522124,23.01,23.01%
During March 2021 ERIM launched an ORCID campaign. Did you participate in it and got your own ORCID iD?,I don't know/prefer not to answer,4,0.035398230088495575,3.54,3.54%
