question,item,number_responses,prop,perc,lab_perc
Which faculty are you from?,Rotterdam School of Management (RSM),67,0.5929203539823009,59.29,59.29%
Which faculty are you from?,Erasmus School of Economics (ESE),46,0.40707964601769914,40.71,40.71%
Which department are you affiliated to? [RSM],Finance,4,0.05970149253731343,5.97,5.97%
Which department are you affiliated to? [RSM],Business-society management,10,0.14925373134328357,14.93,14.93%
Which department are you affiliated to? [RSM],Marketing management,13,0.19402985074626866,19.4,19.4%
Which department are you affiliated to? [RSM],Strategic management & entrepreneurship,10,0.14925373134328357,14.93,14.93%
Which department are you affiliated to? [RSM],Technology & operation management,16,0.23880597014925373,23.88,23.88%
Which department are you affiliated to? [RSM],Organisation & personnel management,10,0.14925373134328357,14.93,14.93%
Which department are you affiliated to? [RSM],Accounting and control,4,0.05970149253731343,5.97,5.97%
Which department are you affiliated to? [ESE],Economics,11,0.2391304347826087,23.91,23.91%
Which department are you affiliated to? [ESE],Applied economics,13,0.2826086956521739,28.26,28.26%
Which department are you affiliated to? [ESE],Econometrics,11,0.2391304347826087,23.91,23.91%
Which department are you affiliated to? [ESE],Business economics,11,0.2391304347826087,23.91,23.91%
What is your position?,Tenured faculty member,59,0.5221238938053098,52.21,52.21%
What is your position?,PhD student,25,0.22123893805309736,22.12,22.12%
What is your position?,Postdoc or researcher,8,0.07079646017699115,7.08,7.08%
What is your position?,Tenure track,21,0.18584070796460178,18.58,18.58%
Are you member of any research institute affiliated with RSM or ESE?,ERIM,74,0.6548672566371682,65.49,65.49%
Are you member of any research institute affiliated with RSM or ESE?,Neither,11,0.09734513274336283,9.73,9.73%
Are you member of any research institute affiliated with RSM or ESE?,Tinbergen,20,0.17699115044247787,17.7,17.7%
Are you member of any research institute affiliated with RSM or ESE?,"ERIM,Tinbergen",8,0.07079646017699115,7.08,7.08%
