question,item,number_responses,prop,perc,lab_perc,ymax,ymin,lab_pos
"In your opinion, how important for your field is it that researchers preregister their studies?",Moderately important,41,0.36283185840707965,36.28,36.28%,0.36283185840707965,0,0.18141592920353983
"In your opinion, how important for your field is it that researchers preregister their studies?",Very important,24,0.21238938053097345,21.24,21.24%,0.5752212389380531,0.36283185840707965,0.4690265486725664
"In your opinion, how important for your field is it that researchers preregister their studies?",Extremely important,8,0.07079646017699115,7.08,7.08%,0.6460176991150443,0.5752212389380531,0.6106194690265487
"In your opinion, how important for your field is it that researchers preregister their studies?",I don’t know/prefer not to answer,8,0.07079646017699115,7.08,7.08%,0.7168141592920354,0.6460176991150443,0.6814159292035398
"In your opinion, how important for your field is it that researchers preregister their studies?",Not at all important,19,0.168141592920354,16.81,16.81%,0.8849557522123894,0.7168141592920354,0.8008849557522124
"In your opinion, how important for your field is it that researchers preregister their studies?",Slightly important,13,0.11504424778761062,11.5,11.5%,1,0.8849557522123894,0.9424778761061947
What is your experience with study preregistration?,"I am aware of study preregistration, but have not used it in my research",61,0.5398230088495575,53.98,53.98%,0.5398230088495575,0,0.26991150442477874
What is your experience with study preregistration?,I don’t know/prefer not to answer,4,0.035398230088495575,3.54,3.54%,0.5752212389380531,0.5398230088495575,0.5575221238938053
What is your experience with study preregistration?,I regularly preregister my studies,10,0.08849557522123894,8.85,8.85%,0.663716814159292,0.5752212389380531,0.6194690265486725
What is your experience with study preregistration?,"I have some experience with study preregistration, but do not use it regularly",29,0.25663716814159293,25.66,25.66%,0.9203539823008849,0.663716814159292,0.7920353982300885
What is your experience with study preregistration?,"Until now, I was unaware of study preregistration",9,0.07964601769911504,7.96,7.96%,1,0.9203539823008849,0.9601769911504425
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,It might delay data collection,23,0.20353982300884957,20.35,20.35%,0.20353982300884957,0,0.10176991150442478
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,I do not share any of these concerns,19,0.168141592920354,16.81,16.81%,0.37168141592920356,0.20353982300884957,0.28761061946902655
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,I don’t know/prefer not to answer,3,0.02654867256637168,2.65,2.65%,0.39823008849557523,0.37168141592920356,0.3849557522123894
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Other,9,0.07964601769911504,7.96,7.96%,0.4778761061946903,0.39823008849557523,0.43805309734513276
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,I need to look at my data before I can decide how to best analyse it,29,0.25663716814159293,25.66,25.66%,0.7345132743362832,0.4778761061946903,0.6061946902654868
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Preregistration prevents exploratory research,22,0.19469026548672566,19.47,19.47%,0.9292035398230089,0.7345132743362832,0.831858407079646
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Preregistration stifles research creativity or flexibility,3,0.02654867256637168,2.65,2.65%,0.9557522123893806,0.9292035398230089,0.9424778761061947
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Preregistration might make it more difficult to publish in certain journals,2,0.017699115044247787,1.77,1.77%,0.9734513274336284,0.9557522123893806,0.9646017699115045
The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would apply to you?,Preregistration might lead to other people taking my research idea and implementing my plan,3,0.02654867256637168,2.65,2.65%,1,0.9734513274336284,0.9867256637168142
