question,item,number_responses,prop,perc,lab_perc
Open Science Framework,I am unaware of this,40,0.35714285714285715,35.71,35.71%
Open Science Framework,"I am aware of it, but don't use it",53,0.4732142857142857,47.32,47.32%
Open Science Framework,I use this,19,0.16964285714285715,16.96,16.96%
GitHub,I am unaware of this,23,0.20535714285714285,20.54,20.54%
GitHub,"I am aware of it, but don't use it",56,0.5,50,50%
GitHub,I use this,33,0.29464285714285715,29.46,29.46%
EUR data repository/Figshare,I am unaware of this,30,0.2727272727272727,27.27,27.27%
EUR data repository/Figshare,"I am aware of it, but don't use it",63,0.5727272727272728,57.27,57.27%
EUR data repository/Figshare,I use this,17,0.15454545454545454,15.45,15.45%
4TU Center for Research Data,I am unaware of this,102,0.9272727272727272,92.73,92.73%
4TU Center for Research Data,"I am aware of it, but don't use it",8,0.07272727272727272,7.27,7.27%
EUR SurfDrive,I am unaware of this,21,0.1891891891891892,18.92,18.92%
EUR SurfDrive,"I am aware of it, but don't use it",43,0.38738738738738737,38.74,38.74%
EUR SurfDrive,I use this,47,0.42342342342342343,42.34,42.34%
EUR Dropbox (not personal),I am unaware of this,25,0.22522522522522523,22.52,22.52%
EUR Dropbox (not personal),"I am aware of it, but don't use it",32,0.2882882882882883,28.83,28.83%
EUR Dropbox (not personal),I use this,54,0.4864864864864865,48.65,48.65%
FAIR data principles,I am unaware of this,75,0.6818181818181818,68.18,68.18%
FAIR data principles,"I am aware of it, but don't use it",19,0.17272727272727273,17.27,17.27%
FAIR data principles,I use this,16,0.14545454545454545,14.55,14.55%
EUR RePub,I am unaware of this,38,0.34545454545454546,34.55,34.55%
EUR RePub,"I am aware of it, but don't use it",35,0.3181818181818182,31.82,31.82%
EUR RePub,I use this,37,0.33636363636363636,33.64,33.64%
Zenodo,I am unaware of this,100,0.9259259259259259,92.59,92.59%
Zenodo,"I am aware of it, but don't use it",7,0.06481481481481481,6.48,6.48%
Zenodo,I use this,1,0.009259259259259259,0.93,0.93%
Other 1,I am unaware of this,3,0.2727272727272727,27.27,27.27%
Other 1,"I am aware of it, but don't use it",1,0.09090909090909091,9.09,9.09%
Other 1,I use this,7,0.6363636363636364,63.64,63.64%
Other 2,I am unaware of this,1,0.3333333333333333,33.33,33.33%
Other 2,"I am aware of it, but don't use it",1,0.3333333333333333,33.33,33.33%
Other 2,I use this,1,0.3333333333333333,33.33,33.33%
